question,origin_answer,polish_answer
XDR如何识别风险应用？,"XDR通过EDR等端侧组件可以识别主机上存在的风险应用，包括风险黑客工具和运维工具的检查，至少25种风险应用检测涵盖主流攻击入侵入口。
包括黑客工具：NetworkShare、PsExec、PCHunter、KPortScan、Frp、ProcessHacker、Mimikatz、Nasp、WebBrowserPassView、PowerTool、CobaltStrike、Masscan、Fscan、NLBrute、PortScan、DefenderControl、Gmer、Netpass、DUBrute、Lazykatz。
运维工具：ToDesk、向日葵、AnyDesk、Rdp_Connector、TeamViewer。
通过风险应用的识别，可以快速定位关键主机存在的攻击风险和隐患。",XDR通过EDR等端侧组件可以识别主机上存在的风险应用。它检查了包括风险黑客工具和运维工具在内的至少25种风险应用，覆盖了主流攻击入侵入口。这些黑客工具包括NetworkShare、PsExec、PCHunter、KPortScan、Frp、ProcessHacker、Mimikatz、Nasp、WebBrowserPassView、PowerTool、CobaltStrike、Masscan、Fscan、NLBrute、PortScan、DefenderControl、Gmer、Netpass、DUBrute、Lazykatz。运维工具方面，包括ToDesk、向日葵、AnyDesk、Rdp_Connector、TeamViewer。通过识别风险应用，XDR能够快速定位关键主机存在的攻击风险和隐患。
XDR关联分析能力？,关联分析分为数据接入和数据分析两个模块。主要功能是通过接入第三方安全设备（如防火墙、IPS、IDS、WAF、终端安全等）、网络设备（如路由器、交换机等）、操作系统（如windows、linux各系列）、中间件（web中间件如apache等，数据库中间件如Mysql、Sql server等中间件）等日志数据进行数据标准化和关联分析。其结果可作为安全能力层输入进行深层次的分析。,关联分析分为数据接入和数据分析两个模块。XDR的主要功能是通过接入第三方安全设备（如防火墙、IPS、IDS、WAF、终端安全等）、网络设备（如路由器、交换机等）、操作系统（如windows、linux各系列）、中间件（web中间件如apache等，数据库中间件如Mysql、Sql server等中间件）等日志数据进行数据标准化和关联分析。通过XDR的关联分析能力，可以得到安全能力层的输入，进行深层次的分析。
XDR在热点威胁方面的支持情况？,XDR支持对热点威胁的展示和检测，以时间轴展示，可展现漏洞名称、风险等级、CVE编号、可检测情况，影响资产、威胁标签、爆发时间及风险评估。对热点威胁包含的漏洞，可以展示危害程度、漏洞爆发时间、CVE-ID、CNNVD-ID、威胁标签、漏洞介绍、影响组件、情报来源、漏洞活跃趋势及修复处置建议。,XDR支持对热点威胁的展示和检测，通过时间轴的形式，可以清晰展示漏洞名称、风险等级、CVE编号、可检测情况、影响资产、威胁标签、爆发时间以及风险评估等信息。此外，XDR还能展示热点威胁所包含的漏洞的危害程度、漏洞爆发时间、CVE-ID、CNNVD-ID、威胁标签、漏洞介绍、影响组件、情报来源、漏洞活跃趋势以及修复处置建议等详细内容。通过这些支持，用户可以更全面地了解热点威胁的情况，并制定相应的防护和修复措施。
XDR的安全工单流程是怎样的？,"通过工单流程可实现不同角色间的协同和流程化运维。 依靠安全运维主管进行任务发起及归档，推动具体责任部门或下属单位的运维人员完成相关事件处置工作。对安全问题进行流程化实现，可便于风险处置的协作和管理，避免无责任人管理导致的风险淹没。安全问题来源于对接的安全检测类设备的安全事件，通过对相关安全问题进行待流转设置，可针对性的进行通报、预警、上报，快速通知相关责任人进行安全事件的处置动作与归档。对安全情报信息进行流程化实现，可快速拉齐信息同步，避免信息不同步导致的安全危害发生，通过对相关信息发起通告流程，提前告知相关责任人威胁信息，快速做好预警防护工作。通过工单流程与SOAR剧本之前相互调用，可以实现高度自动化的事件处理与流程管理的耦合。实际使用过程中主要分为以下几个流程：
1.明确组织与职责
2.基于实际组织架构情况明确安全业务的运营流程的组织结构以及对应的工作职责。
工单总览
工单总览可以按照流程类型和时间范围，统计工单总数，流转中的待处理工单，已结束和已撤销等不同状态的工单，支持按照部门和工单责任人维度来统计工单完成率和超时工单。
流程模板编排
基于实际处置流程，通过拖拉拽的方式，进行自定义流程的编排。为满足流程的全面性，流程动作可包含录入节点、审批节点和并行节点，录入节点可满足流程中人工上传举证信息动作、审批节点可满足人工的选择与判断动作、并行节点可以满足并发执行多个相互独立的流程；
将定义好的流程进行保存，为安全业务的执行提供流程；安全业务的运营流程应可从日常运维、通报预警、应急响应等多维度进行多种流程编排。具体示例如下：
流程设计应以满足可闭环的理念进行规划安排，流程应满足通报人发起、通报人归档的理念， 且通报人在流程流转过程中可看到流程进展。","通过工单流程可实现不同角色间的协同和流程化运维。安全运维主管负责任务发起及归档，推动运维人员完成事件处置工作。流程化实现安全问题的管理，可以协作和管理风险处置，避免风险淹没。安全问题来源于安全检测设备的安全事件，通过待流转设置，可以通报、预警、上报相关责任人，通知他们进行安全事件的处置和归档。流程化实现安全情报信息，可以同步信息，避免安全危害的发生。通过发起通告流程，提前告知相关责任人威胁信息，做好预警防护工作。工单流程与SOAR剧本之间相互调用，实现自动化的事件处理与流程管理的耦合。具体流程主要分为以下几个步骤：
1.明确组织与职责，确定安全业务的运营流程的组织结构和工作职责。
2.工单总览，按照流程类型和时间范围统计工单总数、待处理工单、已结束和已撤销的工单，按部门和工单责任人维度统计工单完成率和超时工单。
3.流程模板编排，根据实际处置流程，通过拖拉拽自定义流程的编排。流程动作包括录入节点、审批节点和并行节点，以满足举证信息上传、选择与判断和并发执行多个独立流程的需求。
4.保存定义好的流程，用于安全业务的执行。安全业务的运营流程可以从日常运维、通报预警、应急响应等多个维度进行多种流程编排。流程设计应闭环，满足通报人发起和归档的理念，通报人在流程流转过程中可以看到流程进展。"
XDR一键处置功能？,"深信服XDR支持对安全事件和告警推送处置和响应建议、处置动作包括缓解措施及建议、通过建议描述、业务影响标签和安全效果标签清晰明确指导下一步响应动作，可一键封禁IP、隔离主机等。支持在线实时聊天框或离线留言咨询攻防专家，获取云端专家支持。
深信服XDR平台通过API接口，联动AF，EDR或CWPP，下发处理动作完成对告警事件的处置，提升业务系统的安全系数，及响应处置的速度与准确性。配置规则支持按源IP、风险等级、源端口、目的IP、目的端口、URL、MD5、发件人邮箱、风险来源，in、not in、like事件范围和规则ID进行加白，支持配置加白时长。
- EDR/CWPP 联动：将告警与 EDR/CWPP 设备进行联动，对可能的端点恶意进程进行封禁、关闭、隔离等操作。支持对隔离主机和处置文件列表展示，可对相关判别后的隔离主机和处置文件解除隔离。
- AF联动：将告警与防火墙设备进行联动，完成对恶意 IP 的封禁、解封操作，甚至调整安全设备其它策略。配置规则支持按IP/域名/URL联动设备进行封堵，封禁时长可按天/时/分细粒度进行设置。
- 第三方产品联动：目前已支持多款主流防火墙的联动，如网神、山石以及Fortigate等，其他主流防火墙支持收费定制的方式满足，还可以叠加深信服SIR作为应急响应处置中心方案。","深信服XDR平台的一键处置功能可以对安全事件和告警进行推送处置和响应建议。处置动作包括缓解措施和建议，通过建议描述、业务影响标签和安全效果标签清晰明确地指导下一步响应动作。用户可以通过一键操作封禁IP、隔离主机等。此外，XDR平台还支持在线实时聊天框或离线留言咨询攻防专家，以获取云端专家的支持。

XDR平台通过API接口与AF、EDR或CWPP等设备进行联动，下发处理动作以完成对告警事件的处置。这不仅可以提升业务系统的安全系数，还可以提高响应处置的速度和准确性。配置规则支持按源IP、风险等级、源端口、目的IP、目的端口、URL、MD5、发件人邮箱、风险来源，in、not in、like事件范围和规则ID等进行加白，并且支持配置加白时长。

XDR平台还支持与EDR/CWPP设备进行联动，对可能的端点恶意进程进行封禁、关闭、隔离等操作。用户可以隔离主机和查看处置文件列表，并且可以解除隔离。

此外，XDR平台还可以与防火墙设备进行联动，完成对恶意IP的封禁、解封操作，甚至可以调整安全设备的其他策略。配置规则支持按IP/域名/URL联动设备进行封堵，封禁时长可以按天/时/分细粒度进行设置。

除了与自家设备的联动，XDR平台还支持与多款主流防火墙的联动，如网神、山石以及Fortigate等。对于其他主流防火墙，可以通过收费定制的方式满足需求。此外，用户还可以叠加深信服SIR作为应急响应处置中心方案。"
XDR的脆弱性管理是怎样的？,"随着资产数量的增多，系统和应用漏洞频繁爆发，对资产漏洞进行识别与管理是保障业务安全的重要一环。深信服XDR平台结合网络侧（云镜）以及端点侧识别（EDR/CWPP）漏洞检测，能够全面的了解用户设备的真实漏洞情况。
在将端和网侧检测的脆弱性信息深度融合后，XDR能够通过脆弱性危害性、攻击者可利用性、攻击者可触达性、资产重要性、攻击情报等维度对脆弱性进行优先级分析，找出最重要、最需要关注的脆弱性，优先处置急需修复的脆弱性，避免陷入检出的脆弱性的汪洋大海中。
XDR结合漏洞全生命周期机制，对漏洞全生命周期进行管理，包括：漏洞发现、漏洞验证、漏洞处置，实现漏洞全生命周期状态闭环跟踪，确保重要的漏洞及时处置。具体过程定义如下：
１.漏洞发现：能够主动地对系统、应用层、中间件、数据库等漏洞检测。
２.漏洞验证：针对关键漏洞，识别和展示具体的举证信息，包括端口信息、具体的组件版本、发包回包举证信息等。支持对检出漏洞的分析和确认验证，确定漏洞的有效性。
３.漏洞处置：对发现的漏洞提供处置建议，提供可落地的漏洞修复方案，包括：漏洞修复步骤、补丁下载链接等。
脆弱性管理页面展现终端遥测及网络遥测扫描到的资产脆弱性进行展示，可对资风险产类型、风险等级及资产名称、责任人、组名等标签进行筛选。",随着资产数量的增多，系统和应用漏洞频繁爆发，对资产漏洞进行识别与管理是保障业务安全的重要一环。深信服XDR平台结合网络侧（云镜）以及端点侧识别（EDR/CWPP）漏洞检测，能够全面了解用户设备的真实漏洞情况。XDR结合漏洞全生命周期机制，对漏洞全生命周期进行管理，包括漏洞发现、漏洞验证、漏洞处置，实现漏洞全生命周期状态闭环跟踪，确保重要的漏洞及时处置。具体过程定义如下：漏洞发现能够主动地对系统、应用层、中间件、数据库等漏洞进行检测。漏洞验证针对关键漏洞，识别和展示具体的举证信息，包括端口信息、具体的组件版本、发包回包举证信息等。支持对检出漏洞的分析和确认验证，确定漏洞的有效性。漏洞处置对发现的漏洞提供处置建议，提供可落地的漏洞修复方案，包括漏洞修复步骤、补丁下载链接等。XDR能够通过脆弱性危害性、攻击者可利用性、攻击者可触达性、资产重要性、攻击情报等维度对脆弱性进行优先级分析，找出最重要、最需要关注的脆弱性，优先处置急需修复的脆弱性，避免陷入检出的脆弱性的汪洋大海中。脆弱性管理页面展现终端遥测及网络遥测扫描到的资产脆弱性进行展示，可对资风险产类型、风险等级及资产名称、责任人、组名等标签进行筛选。
XDR数据接入？,"数据接入将网络环境中各种Event原始数据（包括：深信服、绿盟、安恒、华为等主流厂商的设备日志， Windows、Linux操作系统日志， Apache、Nginx、SSH、MySQL、Oracle等常用组件日志）进行采集。
１.数据来源
SIEM分析系统能够将安全设备、网络设备、操作系统、中间件等生成的日志数据收集，这些是关联分析所需数据的重要来源。
２.数据采集
a.日志采集：日志采集分为主动拉取和被动接收两种形式。
主动拉取：目前支持FTP、KAFKA、JDBC、HTTP、WMI等方式。
被动接收：目前支持syslog、winlogbeat、snmp trap等方式。
b.数据范式：SIEM分析系统从大量第三方设备获取日志数据，各厂商对于字段（如源IP、目的IP、端口等）的格式定义都存在差异，需要将这些数据进行预处理，转成统一的格式标准，这个预处理过程就是范式化。",数据接入是指将网络环境中各种Event原始数据进行采集。这些数据来源包括深信服、绿盟、安恒、华为等主流厂商的设备日志，以及Windows、Linux操作系统日志，Apache、Nginx、SSH、MySQL、Oracle等常用组件日志。SIEM分析系统能够收集安全设备、网络设备、操作系统、中间件等生成的日志数据，这些日志数据是关联分析所需的重要来源。数据的采集可以通过主动拉取和被动接收两种形式进行。主动拉取目前支持FTP、KAFKA、JDBC、HTTP、WMI等方式，而被动接收则支持syslog、winlogbeat、snmp trap等方式。在数据采集过程中，由于各厂商对于字段的格式定义存在差异，需要对这些数据进行预处理，将其转成统一的格式标准，这个预处理过程就是范式化。
XDR由自定义告警生成事件？,自定义告警生成事件是一种用户可以通过自定义事件规则。把自己需要关注的风险（除开事件外还可以关注的哪些告警），能够快速筛选出来，告警的具体指标有：五元组、规则ID、域名、URL、文件MD5、文件路径、X-Forwarded-For、告警等级、确定性等级、检测引擎、风险标签、攻击结果、数据源、访问方向、威胁定性等，用户可以灵活根据告警上面指标配置规则，自动生成安全事件。,自定义告警生成事件是一种用户可以通过自定义事件规则来实现的功能。通过这个功能，用户可以快速筛选出自己关注的风险，并生成相应的告警事件。告警的具体指标包括五元组、规则ID、域名、URL、文件MD5、文件路径、X-Forwarded-For、告警等级、确定性等级、检测引擎、风险标签、攻击结果、数据源、访问方向、威胁定性等。用户可以根据这些指标灵活配置规则，从而自动生成相应的安全事件。
XDR安全事件通知机制？,"为了让用户能够方便地查看和处理平台产生的事件，我们支持将事件推送到微信端。在这里，我们主要配置了将事件推送到微信的策略，包括是否开启微信推送、事件类型、事件等级、事件标签、资产范围、设备来源和热点漏洞预警等。
除此之外，我们还展示了已绑定的微信用户，这些用户可以接收到事件推送并进行相应的处理。通过这种方式，我们可以让用户更加方便地了解和处理平台产生的事件，提高安全事件的处理效率和准确性。",为了方便用户查看和处理平台产生的事件，我们支持将事件推送到微信端。我们在这里主要配置了将事件推送到微信的策略，包括开启微信推送的选项、事件类型、事件等级、事件标签、资产范围、设备来源和热点漏洞预警等。除此之外，我们还展示了已绑定的微信用户，这些用户可以接收到事件推送并进行相应的处理。通过这种方式，我们可以让用户更加便捷地了解和处理平台产生的事件，提高安全事件的处理效率和准确性。
XDR平台的账户权限机制？,账户权限技术是一种用于管理系统或应用程序中用户权限的技术。它可以帮助管理员对用户进行身份验证、授权和访问控制，从而保护系统和数据的安全性。本白皮书旨在介绍账户权限技术的基本概念、实现原理、应用场景、优势和不足。通过本白皮书的阅读，读者可以了解账户权限技术的基本原理和应用，从而更好地保护系统和数据的安全性。,账户权限技术是一种用于管理系统或应用程序中用户权限的技术。它可以帮助管理员对用户进行身份验证、授权和访问控制，从而保护系统和数据的安全性。XDR平台的账户权限机制旨在通过本白皮书的阅读，让读者了解账户权限技术的基本概念、实现原理、应用场景、优势和不足，从而更好地保护系统和数据的安全性。
XDR账号管理？,账号管理技术包括创建账号、管理密码、如何进行身份验证。创建账号时，系统或应用程序需要为用户分配唯一的账号标识，并记录用户的基本信息。管理密码时，系统或应用程序需要对用户的密码进行加密存储，并采取一定的安全措施防止密码泄露。进行身份验证时，系统或应用程序需要对用户输入的账号和密码进行验证，并确认用户的身份,账号管理技术涉及到创建账号、管理密码和身份验证。在创建账号时，系统或应用程序需要为每个用户分配一个独特的账号标识，并记录用户的基本信息。在管理密码时，系统或应用程序需要对用户的密码进行加密存储，并采取相应的安全措施来防止密码泄露。而在进行身份验证时，系统或应用程序需要对用户输入的账号和密码进行验证，并确认用户的身份。这些账号管理技术都是为了确保安全性和用户身份的合法性。
什么是集群？,"集群是指将多台计算机节点组成一个整体，通过网络互联，共同完成某项任务。集群技术可以提高计算机系统的可靠性、可扩展性和性能，广泛应用于大规模数据处理、高性能计算、分布式存储等领域。
  集群设置主要提供了管理XDR集群的功能，主要包括：创建集群、扩容集群以及查看集群节点状态。
  创建集群是XDR系统的起点，创建集群需要三个以上同型号的节点并且所有节点正确配置网络。
  扩容集群是XDR集群扩展方式，可以把同型号的节点添加到节点来获得更高的数据分析能力、更大的数据存储能力。","集群是指将多台计算机节点组成一个整体，通过网络互联，共同完成某项任务。集群技术可以提高计算机系统的可靠性、可扩展性和性能，广泛应用于大规模数据处理、高性能计算、分布式存储等领域。

集群设置主要提供了管理XDR集群的功能。具体包括创建集群、扩容集群以及查看集群节点状态。

创建集群是XDR系统的起点。为了创建集群，需要至少三个同型号的节点，并且所有节点必须正确配置网络。

扩容集群是一种XDR集群的扩展方式。通过将同型号的节点添加到集群中，可以获得更高的数据分析能力和更大的数据存储能力。"
XDR如何实现资产定位到人？,"在安全问题发生时，除了知道发生问题的资产外，还需要找到资产相应的责任人进行处理整改。较传统的模式是管理员在多个设备上自行关联查找，在实际攻防对矿中这种方式处置的效率较低。XDR通过汇总多类设备（包括准入设备、访问控制、终端管理、CMDB、外部台账等方式）的资产管理数据进行分析，自动关联安全问题及其资产责任人。并且针对DHCP、DNS等特殊场景进行纠正处理，使网侧安全告警能够定位到真实主机，研判分析时可以直接看到相关信息，无需二次查找，提高告警研判处置效率。
DHCP 场景示例：
    当内网主机（1.1.1.1）产生一条告警，由于存在DHCP场景，主机IP由1.1.1.1 变化为 1.1.1.2，原IP 1.1.1.1可能也会被其他内网主机占用。最终导致资产和人员信息定位错误，无法高效的进行研判分析及后续的处置。
DHCP 解决方案：
    端侧（EDR、CWPP）资产可以通过终端ID生成资产唯一标识，资产发生变化时，可以通过标识确定唯一资产。网侧资产无法确定其唯一性，当发生变化时，容易造成资产数量膨胀。通过建立网侧资产和端侧资产的映射关系（同一分支内，同一资产通过IP进行关联），资产唯一确定且跟责任人准确关联。同时深信服XDR支持展示安全问题检出时IP和实时IP，方便对后续问题的溯源和分析。
DNS 场景示例：
当内网主机1（2.1.1.1）请求恶意域名，通过DNS服务器代理向上进行域名解析，解析时探针会把源IP定位为
DNS服务器的IP（1.1.1.1），无法定位到内网真实主机（2.1.1.1），最终导致资产和人员信息定位错误。
DNS 解决方案：
1、在DNS服务器安装一个开源采集器，采集DNS解析日志然后上报至XDR平台
2、当内网主机通过DNS服务器向上代理请求产生相关告警时，会根据解析日志对告警源IP进行纠正，使其能够对应到真实主机，从而研判处置时能够找到正确的责任人。",-1
XDR角色管理？,角色管理技术是一种用于管理系统或应用程序中用户角色的技术。它包括角色、权限、访问控制等基本概念。角色是指在系统或应用程序中具有特定权限的用户组，权限是指用户在系统或应用程序中可以执行的操作，访问控制是指系统或应用程序对用户访问资源的控制。,角色管理技术是一种用于管理系统或应用程序中用户角色的技术。它涵盖了角色、权限和访问控制等基本概念。角色是指在系统或应用程序中具有特定权限的用户组，而权限则是指用户在系统或应用程序中可以执行的操作。访问控制则是指系统或应用程序对用户访问资源的控制。通过角色管理技术，系统或应用程序可以更好地管理用户角色，确保用户只能执行其权限范围内的操作，并且对资源的访问也受到了控制。这种技术可以有效提高系统或应用程序的安全性，并减少潜在的风险。
XDR对终端资产管理的支持程度？,"资产管理是安全运营工作的核心，安全问题都是以资产为基础开展响应闭环。通过资产管理模块，可以解决资产分散、指纹模糊、定位困难等一系列管理问题，为后续的资产风险识别、威胁事件响应、流程工单协作建立基础。
资产管理可以解决资产分散、不集中等一系列管理问题。具有识别IT资产、自定义资产属性管理、多源资产数据聚合和建立责任人员组织架构的功能，实现资产的统一管理。其中，可识别的资产类型，包含服务器、终端、网络设备、物联网设备、移动设备和网络安全产品等。
深信服XDR平台通过网络侧（NDR/SIP/云镜），端点侧（EDR/CWPP）和第三方API获取以及手动数据接入来识别资产。通过主动扫描识别、被动流量识别和用户手动三种方式导入资产列表，结合用户页面操作资产信息，对资产进行关联、合并、去重和除错等处理，补充更新资产数据信息。
主机资产可以实现识别操作系统、开放的服务与端口、在线离线状态、资产类型。支持业务/服务器资产分类，可定义IP地址、所属资产组、主机名、责任人、责任人邮箱、所属业务、MAC、地理位置、操作系统、服务与端口、最近上线等信息。
资产详情可以展示资产基础信息包括关联IP、设备信息、地理位置、资产责任人、操作系统、虚拟机信息；开放端口信息、账号信息及登录历史、应用软件信息、硬件信息及数据来源等。
责任人管理支持展示责任人风险资产数及风险标签，可编辑人员部门归属。
资产管理支持自定义属性能力，可以通过自定义属性来扩展资产的管理能力，并支持导入导出带有自定义属性的资产台账表。
XDR可以通过未知资产分析功能，分析各组件发现的，并且不在资产台账中的资产。可以通过网段分析、关联资产组信息、活跃信息、资产信息丰富度等维度分析可能未进行管理的资产，并纳入管理中。","资产管理是安全运营工作的核心，安全问题都是以资产为基础开展响应闭环。通过资产管理模块，可以解决资产分散、指纹模糊、定位困难等一系列管理问题，为后续的资产风险识别、威胁事件响应、流程工单协作建立基础。

深信服XDR平台通过网络侧（NDR/SIP/云镜），端点侧（EDR/CWPP）和第三方API获取以及手动数据接入来识别资产。通过主动扫描识别、被动流量识别和用户手动三种方式导入资产列表，结合用户页面操作资产信息，对资产进行关联、合并、去重和除错等处理，补充更新资产数据信息。

资产管理可以解决资产分散、不集中等一系列管理问题。具有识别IT资产、自定义资产属性管理、多源资产数据聚合和建立责任人员组织架构的功能，实现资产的统一管理。其中，可识别的资产类型，包含服务器、终端、网络设备、物联网设备、移动设备和网络安全产品等。

主机资产可以实现识别操作系统、开放的服务与端口、在线离线状态、资产类型。支持业务/服务器资产分类，可定义IP地址、所属资产组、主机名、责任人、责任人邮箱、所属业务、MAC、地理位置、操作系统、服务与端口、最近上线等信息。

资产详情可以展示资产基础信息包括关联IP、设备信息、地理位置、资产责任人、操作系统、虚拟机信息；开放端口信息、账号信息及登录历史、应用软件信息、硬件信息及数据来源等。

责任人管理支持展示责任人风险资产数及风险标签，可编辑人员部门归属。

资产管理支持自定义属性能力，可以通过自定义属性来扩展资产的管理能力，并支持导入导出带有自定义属性的资产台账表。

XDR可以通过未知资产分析功能，分析各组件发现的，并且不在资产台账中的资产。可以通过网段分析、关联资产组信息、活跃信息、资产信息丰富度等维度分析可能未进行管理的资产，并纳入管理中。

综上所述，XDR对终端资产管理提供了全面的支持。通过资产管理模块，可以解决终端资产分散、指纹模糊、定位困难等一系列管理问题，为后续的资产风险识别、威胁事件响应、流程工单协作提供基础。通过深信服XDR平台的各种功能和手段，可以实现终端资产的识别、关联、合并、去重、除错以及更新管理等操作。而且，XDR还支持自定义属性、未知资产分析等特性，进一步提升终端资产管理的能力和效果。总之，XDR对终端资产管理的支持程度非常高，可以帮助安全运营工作更好地进行资产管理和保护。"
XDR数据分析？,"关联分析分为：预定义关联分析和自定义关联分析。预定义关联分析就是通过SIEM分析系统中预先定义好的关联分析规则对数据的关联点进行分析，自定义关联分析就是允许用户能够根据自身的网络环境和业务特性，按照SIEM系统提供的模板自定义创建关联分析规则。例如，可以创建一个规则如在一段时间内特定IP范围和端口被访问数量超过N即为异常访问。
关联分析规则主要分为：情境关联、规则关联和行为关联（UEBA），具体见以下说明：
１.脆弱性关联：比如FTP存在弱密码，且遭受FTP暴力破解；
２.规则关联：包括逻辑关联、统计关联和时序关联；
（１）逻辑关联：基于逻辑表达式的规则，比如攻击类型=SQL注入 and 目的端口 in(80,8080)；
（２）统计关联：基于聚合统计的规则，比如一分钟内某个IP登录某个目的IP的失败次数大于10次；
（３）时序关联：基于事件发生顺序的规则，比如某个IP被扫描后，遭受暴破攻击；
３.行为关联：主要根据典型的安全场景结合UEBA进行关联分析，包括：账号登录异常、数据库异常、外联异常、外发数据异常、访问异常、账号暴破等。","关联分析分为预定义关联分析和自定义关联分析。预定义关联分析是通过SIEM分析系统中预先定义好的关联分析规则对数据的关联点进行分析。自定义关联分析允许用户根据自身的网络环境和业务特性，按照SIEM系统提供的模板自定义创建关联分析规则。举例来说，可以创建一个规则，当特定IP范围和端口在一段时间内的访问次数超过N次时，即为异常访问。

关联分析规则主要分为情境关联、规则关联和行为关联（UEBA）。具体来说：

1. 脆弱性关联：比如FTP存在弱密码，并且遭受FTP暴力破解。
2. 规则关联：包括逻辑关联、统计关联和时序关联。
   - 逻辑关联：基于逻辑表达式的规则，比如攻击类型为SQL注入，并且目的端口是80或8080。
   - 统计关联：基于聚合统计的规则，比如一分钟内某个IP登录某个目的IP的失败次数大于10次。
   - 时序关联：基于事件发生顺序的规则，比如某个IP被扫描后，遭受暴破攻击。
3. 行为关联：主要根据典型的安全场景结合UEBA进行关联分析，包括账号登录异常、数据库异常、外联异常、外发数据异常、访问异常、账号暴破等。"
XDR平台操作日志？,操作日志是指记录系统或应用程序中用户操作和系统行为的一种记录方式。操作日志可以记录用户的登录、操作、修改、删除等行为，也可以记录系统的运行状态、错误信息、等信息。操作日志是系统安全、故障排查、和业务分析的重要依据。,操作日志是一种记录系统或应用程序中用户操作和系统行为的记录方式。它不仅可以记录用户的登录、操作、修改、删除等行为，还可以记录系统的运行状态和错误信息等。操作日志是系统安全、故障排查和业务分析的重要依据。通过操作日志，可以详细了解系统或应用程序的运行情况，及时发现异常行为和故障，并进行相应的处理。此外，操作日志还可以用于追踪和审计用户行为，确保系统的安全性。因此，对于XDR平台来说，操作日志是非常重要的，它可以提供有关用户操作和系统行为的关键信息，帮助保护系统安全，排查故障，并进行业务分析。
XDR组件综合能力？,深信服XDR的安全能力首先继承了网络侧安全组件（SIP/STA/AF）和终端侧安全组件（EDR/CWPP）的全部能力，在此基座之上构建平台能力。,深信服XDR的安全能力包括继承了网络侧安全组件（SIP/STA/AF）和终端侧安全组件（EDR/CWPP）的全部能力，同时在此基础上构建了平台能力。
XDR的生态？,"１．数据对接
用户可以通过Kafka和API来获取安全事件、安全告警、资产等数据。通过这些数据，客户可以更轻松地获取安全事件和告警信息，将其与其他系统和应用程序进行集成，也可以帮助客户更好的了解其资产和安全状况，从而更好地做出安全决策和规划。
２．应用商店
应用商店是XDR平台对外提供的一个开发者应用中心，通过应用商店，可以为客户提供更多XDR开发的定制功能和应用，满足客户独特的业务需求和场景。此外，客户也可以根据自己的需求和业务进行自开发和扩展，满足不同客户多样化的安全运营需求。","用户可以通过Kafka和API来获取安全事件、安全告警、资产等数据。通过这些数据，客户可以更轻松地获取安全事件和告警信息，并将其与其他系统和应用程序进行集成。此外，这些数据还可以帮助客户更好地了解其资产和安全状况，从而更好地做出安全决策和规划。

XDR平台还提供了一个应用商店，用于为客户提供更多定制功能和应用。通过应用商店，客户可以满足自己独特的业务需求和场景。此外，客户也可以根据自己的需求和业务进行自开发和扩展，以满足不同客户多样化的安全运营需求。"
XDR授权管理机制？,"授权管理页面是一个非常重要的页面，它提供了XDR租户的授权信息，帮助管理员和用户了解他们的授权情况。在该页面上，用户可以查看XDR平台的激活时间和授权类型，以及订单系统和安服mssp平台开通的服务信息。
  服务信息是授权管理页面的一个重要部分，它包含了服务类型、服务名称、授权状态、服务介绍和有效期等信息。服务类型分为基础项、增值项和托管检测与响应服务MDR，每种服务类型都有不同的服务名称和服务介绍。授权状态显示了服务是否已经授权，有效期则显示了服务的有效期限。
  通过授权管理页面，管理员和用户可以轻松地了解他们的授权情况和服务信息，以便更好地管理和使用XDR平台。","授权管理页面是一个非常重要的页面，它提供了XDR租户的授权信息，帮助管理员和用户了解他们在XDR平台上的授权情况。在该页面上，用户可以查看XDR平台的激活时间和授权类型，以及订单系统和安服mssp平台开通的服务信息。

服务信息是授权管理页面的一个重要部分，它包含了服务类型、服务名称、授权状态、服务介绍和有效期等详细信息。服务类型分为基础项、增值项和托管检测与响应服务MDR，每种服务类型都有不同的服务名称和服务介绍。授权状态显示了服务是否已经授权，有效期则显示了服务的有效期限。

通过授权管理页面，管理员和用户可以轻松地了解他们的授权情况和服务信息，以便更好地管理和使用XDR平台。这个页面不仅提供了授权信息的概览，还允许用户进行必要的操作，如延长授权有效期或添加新的服务。这样，管理员和用户就能更好地掌控自己的授权情况，保证XDR平台的安全性和稳定性。"
XDR对物联网安全的作用？,"借助XDR的App Store开放能力，联合AF与XDR优势，让用户在面对海量物联设备，为电力、能源等行业建立IT+OT一体化管理的可复制的样板点，可持续推广；无客户的数字化转型提供安全能力。
    管理员提供清晰的物联设备资产台账，随着数字化转型的推进，大量的智慧化业务增加，带来的是更多的物联网设备连接网络，日常运维能力繁琐
    平台可以更准确更全面识别设备的详细信息，以判断设备是否可以入库，简单快速地完成可信设备及需要入网设备的入库审核操作，使得可信设备可以访问内网业务，同时建立可信设备的管理台账。","借助XDR的App Store开放能力，联合AF与XDR优势，可以让用户面对海量物联设备时，建立可复制的样板点，为电力、能源等行业实现IT+OT一体化管理。这样的样板点可以持续推广，为没有客户的数字化转型提供安全能力。

管理员可以使用XDR提供的清晰的物联设备资产台账来管理物联设备。随着数字化转型的推进，智慧化业务不断增加，给日常运维带来了更大的挑战。通过XDR平台，管理员可以更准确、更全面地识别设备的详细信息，从而判断设备是否可以入库。同时，可以简单快速地完成可信设备和需要入网设备的入库审核操作，并建立可信设备的管理台账。这样，可信设备就可以访问内网业务，实现更安全的管理。"
